ID,ideology,leadership,name,party,description,introduced_bills_116,cosponsored_bills_116,unique_cosponsors_116,total_cosponsors_116
412717,0.35762011950439765,0.2656045423619893,Suozzi,Democrat,centrist Democrat,4,286,30,35
412708,0.14471804171186373,0.4176184620126529,Raskin,Democrat,progressive Democrat,12,517,23,25
412688,0.3485897848865315,0.6145064878267875,Correa,Democrat,centrist Democrat,12,143,202,353
412701,0.28234293114554354,0.5263486985083363,Krishnamoorthi,Democrat,rank-and-file Democrat,10,241,103,134
412693,0.27244665721452294,0.43080950364977866,Lawson,Democrat,rank-and-file Democrat,6,190,66,79
412682,0.4201074309280413,0.5421265956591756,O’Halleran,Democrat,centrist Democrat,20,173,165,265
412718,0.12518677115497626,0.5186906882517239,Espaillat,Democrat,progressive Democrat,24,381,75,188
412739,0.1996233140106578,0.4124777748848414,Gomez,Democrat,progressive Democrat,7,179,96,129
412697,0.28620345479582204,0.5327335115916376,Crist,Democrat,rank-and-file Democrat,10,211,159,198
412710,0.6920792534474154,0.31181978381554554,Mitchell,Republican,rank-and-file Republican,10,109,79,88
412713,0.7009593061623401,0.42282452943358034,Bacon,Republican,rank-and-file Republican,6,151,49,58
412709,0.5958203733059304,0.21641830776028373,Bergman,Republican,rank-and-file Republican,4,72,5,5
412731,0.6536042758172937,0.5829998886749084,Gallagher,Republican,rank-and-file Republican,19,120,102,136
412725,0.4627856244583833,0.2110613869494566,Gonzalez [TX15],Democrat,centrist Democrat,5,212,43,47
412723,0.5062078126335191,0.3291960697096465,González-Colón,Republican,centrist Republican,24,142,60,104
412714,0.46867201307474693,0.3795265021163676,Gottheimer,Democrat,centrist Democrat,8,113,21,29
412721,0.5699917177795887,0.6623451189164891,Fitzpatrick,Republican,rank-and-file Republican,18,521,118,154
412534,0.3580970375969899,0.811858965342359,Schneider,Democrat,centrist Democratic leader,20,151,361,508
412695,0.19014303294874363,0.42496521921348945,Soto,Democrat,progressive Democrat,18,373,83,116
412702,0.7682327592253333,0.4887040926797134,Banks,Republican,rank-and-file Republican,17,113,100,139
412745,0.6735415279440156,0.4184827504898542,Lesko,Republican,rank-and-file Republican,8,143,89,112
412698,0.5811809192134259,0.44134158616862224,Mast,Republican,rank-and-file Republican,11,146,79,96
412694,0.3780128612874135,0.6231697878548045,Murphy,Democrat,centrist Democrat,9,143,57,65
412690,0.7914860014343111,0.373306520253457,Gaetz,Republican,rank-and-file Republican,4,204,14,14
412700,0.6703879627385609,0.27754732955603806,Ferguson,Republican,rank-and-file Republican,1,62,3,3
412706,0.6793903184645357,0.5012167202407305,Johnson [LA4],Republican,rank-and-file Republican,10,64,94,190
412738,0.8684770121516325,0.35104423290857373,Norman,Republican,conservative Republican,7,180,41,46
412692,0.6472680394922155,0.3909715806916283,Rutherford,Republican,rank-and-file Republican,6,120,46,59
412691,0.6927944160573528,0.3108393139306625,Dunn,Republican,rank-and-file Republican,3,79,6,6
412712,0.7599563483375685,0.37773247894331774,Budd,Republican,rank-and-file Republican,7,150,38,45
